step,queue,waiting,throughput
42,23.0,203.0,2
43,18.0,143.0,1
44,8.0,78.0,2
45,13.0,173.0,0
46,11.0,33.0,1
47,16.0,153.0,1
48,21.0,320.0,2
49,25.0,534.0,1
50,10.0,82.0,4
51,7.0,26.0,2
52,22.0,169.0,3
53,26.0,410.0,2
54,31.0,691.0,1
55,25.0,461.0,2
56,13.0,115.0,0
57,10.0,34.0,0
58,23.0,180.0,1
59,31.0,442.0,3
60,36.0,762.0,4
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,45.0,0
7,5.0,10.0,0
8,5.0,23.0,0
9,7.0,74.0,1
10,15.0,170.0,1
11,16.0,305.0,2
12,18.0,473.0,3
13,25.0,676.0,1
14,27.0,921.0,0
15,31.0,1201.0,0
16,21.0,299.0,0
17,10.0,34.0,2
18,21.0,178.0,0
19,25.0,159.0,0
20,15.0,112.0,0
21,11.0,132.0,3
22,12.0,38.0,1
23,21.0,198.0,2
24,28.0,451.0,2
25,35.0,741.0,4
26,24.0,496.0,2
27,15.0,146.0,2
28,13.0,140.0,2
29,13.0,254.0,1
30,17.0,403.0,1
31,17.0,81.0,2
32,16.0,168.0,2
33,10.0,32.0,2
34,12.0,35.0,3
35,21.0,176.0,1
36,12.0,98.0,1
37,10.0,29.0,0
38,6.0,20.0,2
39,8.0,34.0,2
40,21.0,180.0,3
41,28.0,406.0,0
42,29.0,679.0,2
43,19.0,281.0,0
44,10.0,65.0,1
45,9.0,39.0,0
46,23.0,202.0,0
47,19.0,148.0,1
48,9.0,89.0,2
49,14.0,198.0,3
50,18.0,338.0,1
51,20.0,526.0,4
52,20.0,170.0,2
53,13.0,125.0,1
54,6.0,30.0,2
55,19.0,160.0,3
56,11.0,72.0,1
57,8.0,31.0,3
58,20.0,181.0,1
59,10.0,51.0,2
60,9.0,39.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,20.0,0
7,11.0,79.0,0
8,12.0,178.0,0
9,15.0,312.0,1
10,5.0,10.0,1
11,9.0,59.0,2
12,10.0,146.0,2
13,10.0,29.0,2
14,13.0,133.0,1
